Empreendimento;Situação;Data Entrega; Unidades Habitacionais ;Programa;Ação PPA;Município;Região Administrativa
ARARAQUARA B2;COMERCIALIZADA;15/10/1985; 586 ;PLANHAP;;Araraquara;CENTRAL
ARARAQUARA C;COMERCIALIZADA;21/09/1990; 100 ;SH2;;Araraquara;CENTRAL
ARARAQUARA F;COMERCIALIZADA;25/09/1993; 256 ;SH3;;Araraquara;CENTRAL
ARARAQUARA G;COMERCIALIZADA;19/09/1997; 352 ;SH4;;Araraquara;CENTRAL
ARARAQUARA H1;COMERCIALIZADA;19/09/1997; 160 ;SH4;;Araraquara;CENTRAL
ARARAQUARA H2;COMERCIALIZADA;18/04/1997; 256 ;SH4;;Araraquara;CENTRAL
ARARAQUARA I;COMERCIALIZADA;28/02/1998; 496 ;Chamamento Empresarial;;Araraquara;CENTRAL
ARARAQUARA J;COMERCIALIZADA;28/02/1998; 496 ;Chamamento Empresarial;;Araraquara;CENTRAL
ARARAQUARA K;COMERCIALIZADA;27/10/2005; 92 ;Parceria com Municípios;;Araraquara;CENTRAL
ARARAQUARA K;COMERCIALIZADA;14/02/2007; 50 ;Parceria com Municípios;;Araraquara;CENTRAL
ARARAQUARA K;COMERCIALIZADA;14/11/2008; 50 ;Parceria com Municípios;;Araraquara;CENTRAL
ARARAQUARA L (SPI-ARQ2H);COMERCIALIZADA;29/12/2005; 160 ;Núcleo Habitacional por Empreitada;;Araraquara;CENTRAL
ARARAQUARA M;COMERCIALIZADA;24/11/2006; 160 ;Núcleo Habitacional por Empreitada;;Araraquara;CENTRAL
ARARAQUARA N - VILA DIGNIDADE;COMERCIALIZADA;15/05/2015; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araraquara;CENTRAL
ARARAQUARA-CAPRICHANDO A MORADA-ARARAQUARA E MOTUCA 2008;COMERCIALIZADA;30/12/2008; 27 ;Parceria Associações e Cooperativas;;Araraquara;CENTRAL
ARARAS A;COMERCIALIZADA;01/01/1969; 100 ;CEESP;;Araras;CAMPINAS
ARARAS B;COMERCIALIZADA;26/03/1982; 1.157 ;PLANHAP;;Araras;CAMPINAS
ARARAS C;COMERCIALIZADA;27/04/1992; 123 ;SH3;;Araras;CAMPINAS
ARARAS D;COMERCIALIZADA;20/07/2018; 136 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araras;CAMPINAS
ARARAS D;COMERCIALIZADA;15/12/2018; 76 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araras;CAMPINAS
ARCO-IRIS A;COMERCIALIZADA;21/02/2001; 69 ;Sonho Meu;;Arco-Íris;MARÍLIA
ARCO-IRIS B;COMERCIALIZADA;25/11/2005; 59 ;Moradias Indígenas;;Arco-Íris;MARÍLIA
ARCO-IRIS C;COMERCIALIZADA;22/03/2011; 47 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Arco-Íris;MARÍLIA
ARCO-IRIS D;COMERCIALIZADA;09/12/2016; 47 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Arco-Íris;MARÍLIA
ARCO-IRIS E;COMERCIALIZADA;09/12/2021; 15 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Arco-Íris;MARÍLIA
AREALVA A;COMERCIALIZADA;29/12/1992; 119 ;SH3;;Arealva;BAURU
AREALVA C;COMERCIALIZADA;22/10/1998; 50 ;Sonho Meu;;Arealva;BAURU
AREALVA C;COMERCIALIZADA;20/12/1998; 55 ;Sonho Meu;;Arealva;BAURU
AREALVA C;COMERCIALIZADA;07/01/2000; 79 ;Sonho Meu;;Arealva;BAURU
AREALVA D;COMERCIALIZADA;19/08/2005; 50 ;Autoconstrução;;Arealva;BAURU
AREALVA E;COMERCIALIZADA;30/04/2010; 150 ;Parceria com Municípios;;Arealva;BAURU
AREALVA F;COMERCIALIZADA;19/07/2019; 34 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Arealva;BAURU
AREIAS A;COMERCIALIZADA;22/12/2017; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Areias;SAO JOSÉ DOS CAMPOS
AREIAS B;COMERCIALIZADA;22/06/2017; 40 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Areias;SAO JOSÉ DOS CAMPOS
AREIOPOLIS A;COMERCIALIZADA;13/12/1997; 155 ;SH4;;Areiópolis;SOROCABA
AREIOPOLIS B;COMERCIALIZADA;19/05/1997; 106 ;SH4;;Areiópolis;SOROCABA
AREIOPOLIS D;COMERCIALIZADA;21/02/2014; 141 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Areiópolis;SOROCABA
AREIOPOLIS E - FASE 1;COMERCIALIZADA;06/03/2020; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Areiópolis;SOROCABA
ARIRANHA A1;COMERCIALIZADA;30/12/1993; 190 ;SH3;;Ariranha;SÃO JOSÉ DO RIO PRETO
ARIRANHA A2/A3;COMERCIALIZADA;30/12/1993; 110 ;SH3;;Ariranha;SÃO JOSÉ DO RIO PRETO
ARIRANHA B;COMERCIALIZADA;17/07/1998; 98 ;SH4;;Ariranha;SÃO JOSÉ DO RIO PRETO
ARIRANHA C;COMERCIALIZADA;16/12/2017; 95 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ariranha;SÃO JOSÉ DO RIO PRETO
ARTUR NOGUEIRA B;COMERCIALIZADA;30/01/1993; 300 ;SH3;;Artur Nogueira;CAMPINAS
ARUJA C1 (FAZENDA ALBOR);COMERCIALIZADA;04/11/2016; 170 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Arujá;METROPOLITANA SÃO PAULO
ARUJA C1 (FAZENDA ALBOR);COMERCIALIZADA;16/12/2016; 99 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Arujá;METROPOLITANA SÃO PAULO
ARUJA C1 (FAZENDA ALBOR);COMERCIALIZADA;28/12/2016; 122 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Arujá;METROPOLITANA SÃO PAULO
ASPASIA A;COMERCIALIZADA;26/06/1998; 33 ;Sonho Meu;;Aspásia;SÃO JOSÉ DO RIO PRETO
ASPASIA B;COMERCIALIZADA;07/12/2015; 52 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Aspásia;SÃO JOSÉ DO RIO PRETO
ASSIS A1;COMERCIALIZADA;01/01/1969; 68 ;CEESP;;Assis;MARÍLIA
ASSIS A2;COMERCIALIZADA;15/07/1987; 20 ;Prog Municipal Habitação;;Assis;MARÍLIA
ASSIS A3;COMERCIALIZADA;27/01/1996; 35 ;SH3;;Assis;MARÍLIA
ASSIS C;COMERCIALIZADA;27/01/1996; 115 ;SH3;;Assis;MARÍLIA
ASSIS D1;COMERCIALIZADA;28/06/2002; 256 ;Sonho Meu;;Assis;MARÍLIA
ASSIS D2;COMERCIALIZADA;28/06/2002; 128 ;Sonho Meu;;Assis;MARÍLIA
ASSIS D3;COMERCIALIZADA;28/06/2002; 128 ;Sonho Meu;;Assis;MARÍLIA
ASSIS E;COMERCIALIZADA;22/07/2008; 18 ;Reassentamento Habitacional;;Assis;MARÍLIA
ASSIS F;COMERCIALIZADA;22/07/2008; 188 ;Parceria com Municípios;;Assis;MARÍLIA
ATIBAIA B;COMERCIALIZADA;30/04/1989; 80 ;Prog Municipal Habitação;;Atibaia;CAMPINAS
ATIBAIA C;COMERCIALIZADA;08/08/1997; 125 ;SH4;;Atibaia;CAMPINAS
ATIBAIA D1;COMERCIALIZADA;23/10/2009; 140 ;Reassentamento Habitacional;;Atibaia;CAMPINAS
ATIBAIA D2;COMERCIALIZADA;23/10/2009; 228 ;Parceria com Municípios;;Atibaia;CAMPINAS
AURIFLAMA A1;COMERCIALIZADA;01/01/1977; 30 ;CEESP;;Auriflama;ARAÇATUBA
AURIFLAMA A2;COMERCIALIZADA;26/09/1993; 32 ;SH3;;Auriflama;ARAÇATUBA
AURIFLAMA A3;COMERCIALIZADA;19/02/2001; 96 ;Sonho Meu;;Auriflama;ARAÇATUBA
AURIFLAMA C;COMERCIALIZADA;30/06/1993; 390 ;SH3;;Auriflama;ARAÇATUBA
AURIFLAMA D;COMERCIALIZADA;24/11/2012; 155 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Auriflama;ARAÇATUBA
AVAI;COMERCIALIZADA;03/09/2004; 30 ;Moradias Indígenas;;Avaí;BAURU
AVAI A1;COMERCIALIZADA;30/10/1988; 50 ;Prog Municipal Habitação;;Avaí;BAURU
AVAI A2;COMERCIALIZADA;29/10/1992; 89 ;SH3;;Avaí;BAURU
AVAI C;COMERCIALIZADA;21/05/2010; 77 ;Parceria com Municípios;;Avaí;BAURU
AVAI D (ALDEIA TEREGUA);COMERCIALIZADA;19/04/2007; 22 ;Moradias Indígenas;;Avaí;BAURU
AVAI D2/E3/F3/G3 (ALDEIA: TEREGUA, NIMUENDAJU, EKERUA E KOPENOTI);COMERCIALIZADA;07/07/2014; 14 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Avaí;BAURU
AVAI D2/E3/F3/G3 (ALDEIA: TEREGUA, NIMUENDAJU, EKERUA E KOPENOTI);COMERCIALIZADA;18/12/2014; 15 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Avaí;BAURU
AVAI D2/E3/F3/G3 (ALDEIA: TEREGUA, NIMUENDAJU, EKERUA E KOPENOTI);COMERCIALIZADA;27/08/2015; 9 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Avaí;BAURU
AVAI D2/E3/F3/G3 (ALDEIA: TEREGUA, NIMUENDAJU, EKERUA E KOPENOTI);COMERCIALIZADA;07/12/2018; 15 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Avaí;BAURU
AVAI E (ALDEIA NIMUENDAJU);COMERCIALIZADA;19/04/2007; 10 ;Moradias Indígenas;;Avaí;BAURU
AVAI E2 (ALDEIA NIMUENDAJU);COMERCIALIZADA;19/04/2007; 3 ;Moradias Indígenas;;Avaí;BAURU
AVAI F (ALDEIA EKERUA);COMERCIALIZADA;19/04/2007; 10 ;Moradias Indígenas;;Avaí;BAURU
AVAI F2 (ALDEIA EKERUA);COMERCIALIZADA;19/04/2007; 5 ;Moradias Indígenas;;Avaí;BAURU
AVAI G (KOPENOTY);COMERCIALIZADA;19/04/2007; 9 ;Moradias Indígenas;;Avaí;BAURU
AVAI G2 (ALDEIA KOPENOTY);COMERCIALIZADA;19/04/2007; 12 ;Moradias Indígenas;;Avaí;BAURU
AVANHANDAVA A;COMERCIALIZADA;22/11/2002; 70 ;Sonho Meu;;Avanhandava;ARAÇATUBA
AVANHANDAVA B;COMERCIALIZADA;19/09/2008; 135 ;Parceria com Municípios;;Avanhandava;ARAÇATUBA
AVANHANDAVA C;COMERCIALIZADA;09/12/2017; 173 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Avanhandava;ARAÇATUBA
AVARE A1;COMERCIALIZADA;22/11/1990; 100 ;SH2;;Avaré;SOROCABA
AVARE A2;COMERCIALIZADA;22/11/1990; 200 ;SH2;;Avaré;SOROCABA
AVARE A3;COMERCIALIZADA;03/10/1991; 54 ;SH3;;Avaré;SOROCABA
AVARE B;COMERCIALIZADA;22/12/1993; 304 ;SH3;;Avaré;SOROCABA
AVARE C;COMERCIALIZADA;28/10/1995; 91 ;SH4;;Avaré;SOROCABA
AVARE D - VILA DIGNIDADE;COMERCIALIZADA;30/12/2009; 22 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Avaré;SOROCABA
AVARE D1;COMERCIALIZADA;14/06/2003; 414 ;Núcleo Habitacional por Empreitada;;Avaré;SOROCABA
AVARE D2;COMERCIALIZADA;14/06/2003; 197 ;Núcleo Habitacional por Empreitada;;Avaré;SOROCABA
AVARE E;COMERCIALIZADA;14/11/2008; 75 ;Parceria com Municípios;;Avaré;SOROCABA
AVARE F1;COMERCIALIZADA;30/12/2009; 115 ;Parceria com Municípios;;Avaré;SOROCABA
AVARE F2;COMERCIALIZADA;30/12/2009; 75 ;Reassentamento Habitacional;;Avaré;SOROCABA
AVARE G;COMERCIALIZADA;20/12/2012; 22 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Avaré;SOROCABA
BALBINOS A;COMERCIALIZADA;23/05/1993; 50 ;SH3;;Balbinos;BAURU
BALBINOS B;COMERCIALIZADA;27/01/1996; 24 ;SH4;;Balbinos;BAURU
BALBINOS C;COMERCIALIZADA;17/11/2017; 64 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Balbinos;BAURU
BALSAMO A;COMERCIALIZADA;13/09/2000; 95 ;Sonho Meu;;Bálsamo;SÃO JOSÉ DO RIO PRETO
BALSAMO B - FASE 1;COMERCIALIZADA;09/04/2021; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bálsamo;SÃO JOSÉ DO RIO PRETO
BALSAMO B - FASE 2;COMERCIALIZADA;02/09/2022; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bálsamo;SÃO JOSÉ DO RIO PRETO
BANANAL A;COMERCIALIZADA;19/08/2001; 128 ;Sonho Meu;;Bananal;SAO JOSÉ DOS CAMPOS
BANANAL B;COMERCIALIZADA;15/08/2008; 64 ;Parceria com Municípios;;Bananal;SAO JOSÉ DOS CAMPOS
BARAO DE ANTONINA A1;COMERCIALIZADA;23/01/1990; 50 ;SH2;;Barão de Antonina;ITAPEVA
BARAO DE ANTONINA A2;COMERCIALIZADA;30/01/1992; 26 ;SH3;;Barão de Antonina;ITAPEVA
BARAO DE ANTONINA B;COMERCIALIZADA;23/12/2005; 52 ;Autoconstrução;;Barão de Antonina;ITAPEVA
BARAO DE ANTONINA C;COMERCIALIZADA;20/12/2012; 25 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Barão de Antonina;ITAPEVA
BARAO DE ANTONINA D;COMERCIALIZADA;14/11/2019; 30 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Barão de Antonina;ITAPEVA
BARBOSA A;COMERCIALIZADA;19/04/2002; 104 ;Sonho Meu;;Barbosa;ARAÇATUBA
BARBOSA C;COMERCIALIZADA;10/06/1995; 58 ;SH4;;Barbosa;ARAÇATUBA
BARBOSA D;COMERCIALIZADA;31/01/2015; 180 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Barbosa;ARAÇATUBA
BARIRI A;COMERCIALIZADA;23/03/1991; 80 ;SH2;;Bariri;BAURU
BARIRI B;COMERCIALIZADA;15/06/1991; 251 ;SH2;;Bariri;BAURU
BARIRI C;COMERCIALIZADA;02/09/1997; 334 ;Chamamento Empresarial;;Bariri;BAURU
BARIRI D;COMERCIALIZADA;29/04/2011; 22 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bariri;BAURU
BARRA BONITA A1;COMERCIALIZADA;01/01/1975; 27 ;CEESP;;Barra Bonita;BAURU
BARRA BONITA A2;COMERCIALIZADA;01/01/1976; 45 ;CEESP;;Barra Bonita;BAURU
BARRA BONITA A3;COMERCIALIZADA;01/01/1977; 72 ;CEESP;;Barra Bonita;BAURU
BARRA BONITA B;COMERCIALIZADA;25/02/1994; 162 ;SH3;;Barra Bonita;BAURU
BARRA BONITA C;COMERCIALIZADA;19/05/1997; 456 ;SH4;;Barra Bonita;BAURU
BARRA DO CHAPEU A;COMERCIALIZADA;30/12/2009; 64 ;Parceria com Municípios;;Barra do Chapéu;ITAPEVA
BARRA DO CHAPEU-CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 13 ;Parceria Associações e Cooperativas;;Barra do Chapéu;ITAPEVA
BARRA DO TURVO I-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 21 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO II-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 17 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO II-CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 28 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO III-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 15 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO IV-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 47 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO V-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 47 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO VI-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 13 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO-CAPRICHANDO A MORADA - ABC I E ABC II 2008;COMERCIALIZADA;30/12/2008; 25 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO-CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 24 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO-CAPRICHANDO A MORADA BR116 E GRUPO TERRA 2008;COMERCIALIZADA;30/12/2008; 17 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRA DO TURVO-CAPRICHANDO A MORADA RIBEIRAO BARRA 2008;COMERCIALIZADA;30/12/2008; 15 ;Parceria Associações e Cooperativas;;Barra do Turvo;REGISTRO
BARRETOS A;COMERCIALIZADA;01/01/1968; 100 ;CEESP;;Barretos;BARRETOS
BARRETOS B1;COMERCIALIZADA;26/09/1979; 252 ;PLANHAP;;Barretos;BARRETOS
BARRETOS B2;COMERCIALIZADA;11/09/1981; 184 ;PLANHAP;;Barretos;BARRETOS
BARRETOS B3;COMERCIALIZADA;04/04/2003; 288 ;Núcleo Habitacional por Empreitada;;Barretos;BARRETOS
BARRETOS B4;COMERCIALIZADA;28/03/1992; 354 ;SH2;;Barretos;BARRETOS
BARRETOS B5;COMERCIALIZADA;28/03/1992; 251 ;SH2;;Barretos;BARRETOS
BARRETOS B6;COMERCIALIZADA;30/06/1995; 416 ;SH3;;Barretos;BARRETOS
BARRETOS B7;COMERCIALIZADA;05/02/1998; 480 ;SH4;;Barretos;BARRETOS
BARRETOS C;COMERCIALIZADA;14/12/1996; 269 ;Chamamento Empresarial;;Barretos;BARRETOS
BARRETOS E/F;COMERCIALIZADA;25/09/2010; 38 ;Parceria com Municípios;;Barretos;BARRETOS
BARRETOS H;COMERCIALIZADA;25/09/2010; 11 ;Parceria com Municípios;;Barretos;BARRETOS
BARRETOS I;COMERCIALIZADA;25/09/2010; 18 ;Parceria com Municípios;;Barretos;BARRETOS
BARRETOS J;COMERCIALIZADA;25/09/2010; 19 ;Parceria com Municípios;;Barretos;BARRETOS
BARRETOS K;COMERCIALIZADA;26/08/2022; 28 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Barretos;BARRETOS
BARRINHA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 38 ;Crédito Habitacional;;Barrinha;RIBEIRÃO PRETO
BARRINHA B;COMERCIALIZADA;30/03/1996; 496 ;SH3;;Barrinha;RIBEIRÃO PRETO
BARRINHA C01;COMERCIALIZADA;10/04/1999; 50 ;Sonho Meu;;Barrinha;RIBEIRÃO PRETO
BARRINHA C01;COMERCIALIZADA;07/04/2000; 70 ;Sonho Meu;;Barrinha;RIBEIRÃO PRETO
BARRINHA C02;COMERCIALIZADA;14/07/2018; 296 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Barrinha;RIBEIRÃO PRETO
BARUERI A1;COMERCIALIZADA;29/04/1994; 288 ;SH3;;Barueri;METROPOLITANA SÃO PAULO
BARUERI A1;COMERCIALIZADA;16/09/1995; 64 ;SH3;;Barueri;METROPOLITANA SÃO PAULO
BARUERI A2;COMERCIALIZADA;02/10/1994; 288 ;SH3;;Barueri;METROPOLITANA SÃO PAULO
BARUERI A3;COMERCIALIZADA;29/04/1994; 448 ;SH3;;Barueri;METROPOLITANA SÃO PAULO
BASTOS A1;COMERCIALIZADA;30/01/1988; 33 ;Prog Municipal Habitação;;Bastos;MARÍLIA
BASTOS A1;COMERCIALIZADA;30/12/1988; 33 ;Prog Municipal Habitação;;Bastos;MARÍLIA
BASTOS B;COMERCIALIZADA;08/12/1990; 125 ;SH2;;Bastos;MARÍLIA
BASTOS C;COMERCIALIZADA;01/11/1991; 92 ;SH3;;Bastos;MARÍLIA
BASTOS D;COMERCIALIZADA;27/01/1996; 166 ;SH4;;Bastos;MARÍLIA
BASTOS G;COMERCIALIZADA;31/10/2008; 185 ;Parceria com Municípios;;Bastos;MARÍLIA
BASTOS H;COMERCIALIZADA;30/12/2013; 224 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bastos;MARÍLIA
BASTOS H;COMERCIALIZADA;23/06/2014; 121 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bastos;MARÍLIA
BASTOS I;COMERCIALIZADA;01/09/2022; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bastos;MARÍLIA
BATATAIS A1/A2;COMERCIALIZADA;01/01/1976; 85 ;CEESP;;Batatais;FRANCA
BATATAIS B1;COMERCIALIZADA;29/05/1981; 300 ;PLANHAP;;Batatais;FRANCA
BATATAIS B2;COMERCIALIZADA;24/11/1983; 232 ;PLANHAP;;Batatais;FRANCA
BATATAIS C;COMERCIALIZADA;30/05/1986; 60 ;Prog Municipal Habitação;;Batatais;FRANCA
BATATAIS D;COMERCIALIZADA;31/12/1988; 280 ;SH2;;Batatais;FRANCA
BATATAIS F;COMERCIALIZADA;17/12/1994; 192 ;SH3;;Batatais;FRANCA
BATATAIS G1/G2;COMERCIALIZADA;02/03/1998; 260 ;SH4;;Batatais;FRANCA
BATATAIS H;COMERCIALIZADA;29/12/1998; 500 ;Chamamento Empresarial;;Batatais;FRANCA
BATATAIS I;COMERCIALIZADA;28/05/2010; 452 ;Parceria com Municípios;;Batatais;FRANCA
BAURU A;COMERCIALIZADA;01/01/1969; 100 ;CEESP;;Bauru;BAURU
BAURU B;COMERCIALIZADA;01/01/1978; 95 ;CEESP;;Bauru;BAURU
BAURU C;COMERCIALIZADA;29/02/1988; 100 ;Prog Municipal Habitação;;Bauru;BAURU
BAURU G;COMERCIALIZADA;18/12/1997; 448 ;Sonho Meu;;Bauru;BAURU
BAURU H;COMERCIALIZADA;25/11/2005; 240 ;Núcleo Habitacional por Empreitada;;Bauru;BAURU
BAURU K;COMERCIALIZADA;11/03/2022; 22 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bauru;BAURU
BEBEDOURO - MICROCREDITO;COMERCIALIZADA;31/12/2007; 18 ;Crédito Habitacional;;Bebedouro;BARRETOS
BEBEDOURO A;COMERCIALIZADA;01/01/1974; 39 ;CEESP;;Bebedouro;BARRETOS
BEBEDOURO B1;COMERCIALIZADA;01/01/1975; 52 ;CEESP;;Bebedouro;BARRETOS
BEBEDOURO B2;COMERCIALIZADA;01/01/1975; 52 ;CEESP;;Bebedouro;BARRETOS
BEBEDOURO B3;COMERCIALIZADA;01/01/1976; 78 ;CEESP;;Bebedouro;BARRETOS
BEBEDOURO C;COMERCIALIZADA;07/05/1995; 30 ;SH3;;Bebedouro;BARRETOS
BEBEDOURO D;COMERCIALIZADA;11/07/1997; 26 ;SH3;;Bebedouro;BARRETOS
BEBEDOURO E;COMERCIALIZADA;07/05/1995; 32 ;SH3;;Bebedouro;BARRETOS
BEBEDOURO F;COMERCIALIZADA;07/05/1995; 482 ;SH3;;Bebedouro;BARRETOS
BEBEDOURO G;COMERCIALIZADA;30/12/2009; 57 ;Parceria com Municípios;;Bebedouro;BARRETOS
BEBEDOURO H;COMERCIALIZADA;04/08/2020; 234 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bebedouro;BARRETOS
BENTO DE ABREU A;COMERCIALIZADA;21/12/2005; 69 ;Autoconstrução;;Bento de Abreu;ARAÇATUBA
BENTO DE ABREU A;COMERCIALIZADA;20/10/2006; 8 ;Autoconstrução;;Bento de Abreu;ARAÇATUBA
BENTO DE ABREU C;COMERCIALIZADA;01/06/2014; 70 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bento de Abreu;ARAÇATUBA
BERNARDINO DE CAMPOS A;COMERCIALIZADA;15/10/1993; 240 ;SH3;;Bernardino de Campos;MARÍLIA
BERNARDINO DE CAMPOS B;COMERCIALIZADA;21/04/2012; 115 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bernardino de Campos;MARÍLIA
BERTIOGA B;COMERCIALIZADA;05/01/2006; 44 ;Atuação em Favelas e Áreas de Risco;;Bertioga;SANTOS
BERTIOGA C;COMERCIALIZADA;14/02/2006; 88 ;Reassentamento Habitacional;;Bertioga;SANTOS
BERTIOGA C;COMERCIALIZADA;30/12/2009; 88 ;Reassentamento Habitacional;;Bertioga;SANTOS
BERTIOGA D01 - FASE 1;COMERCIALIZADA;21/12/2013; 71 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Bertioga;SANTOS
BERTIOGA D01 - FASE 1;COMERCIALIZADA;02/08/2014; 37 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Bertioga;SANTOS
BERTIOGA D01 - FASE 1;COMERCIALIZADA;31/10/2014; 40 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Bertioga;SANTOS
BERTIOGA D01 - FASE 1;COMERCIALIZADA;15/12/2015; 32 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Bertioga;SANTOS
BERTIOGA D01 - FASE 1;COMERCIALIZADA;04/08/2016; 74 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Bertioga;SANTOS
BERTIOGA D01 - FASE 2;COMERCIALIZ. PARCIAL;22/12/2021; 8 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Bertioga;SANTOS
BERTIOGA D01 - FASE 2;COMERCIALIZ. PARCIAL;13/06/2022; 12 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Bertioga;SANTOS
BERTIOGA E (1ª ETAPA) - ALDEIA RIO SILVEIRA;COMERCIALIZ. PARCIAL;02/08/2022; 10 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bertioga;SANTOS
BILAC A;COMERCIALIZADA;01/07/1992; 50 ;SH3;;Bilac;ARAÇATUBA
BILAC B;COMERCIALIZADA;12/09/1997; 100 ;Chamamento Empresarial;;Bilac;ARAÇATUBA
BILAC C;COMERCIALIZADA;03/05/2001; 21 ;Sonho Meu;;Bilac;ARAÇATUBA
BILAC D;COMERCIALIZADA;26/04/2003; 60 ;Autoconstrução;;Bilac;ARAÇATUBA
BILAC E;COMERCIALIZADA;05/09/2008; 52 ;Parceria com Municípios;;Bilac;ARAÇATUBA
BILAC F;COMERCIALIZADA;09/12/2017; 51 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Bilac;ARAÇATUBA
BIRIGUI - MICROCREDITO;COMERCIALIZADA;31/12/2007; 4 ;Crédito Habitacional;;Birigui;ARAÇATUBA
BIRIGUI A;COMERCIALIZADA;01/01/1976; 105 ;CEESP;;Birigui;ARAÇATUBA
BIRIGUI B;COMERCIALIZADA;02/07/1990; 163 ;SH2;;Birigui;ARAÇATUBA
BIRIGUI C01;COMERCIALIZADA;18/10/1996; 1.215 ;SH4;;Birigui;ARAÇATUBA
BIRIGUI C02;COMERCIALIZADA;09/02/2001; 69 ;Sonho Meu;;Birigui;ARAÇATUBA
BIRITIBA-MIRIM A2;COMERCIALIZADA;30/03/2015; 8 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Biritiba-Mirim;METROPOLITANA SÃO PAULO
